_id,Name,Select,Star,Comment
658bae3d349f415aebfa51a7,로또대박,선택 옵션 선택:●개념원리 중학수학 1-1,5,살짝 끝이 찢어지긴했지만 공부하는덴 상관없어서 그냥써요..ㅎ\n사은품으로주신 노트 감사합니다
658bae3d349f415aebfa51a8,여유한모금,선택 옵션 선택:●개념원리 RPM 중학수학 3-2,5,학원교재로 구입한 개념원리 RPM 이에요 쎈이랑 개념원리 기초탄탄하게 풀이도 잘되어 좋아요
658bae3d349f415aebfa51a9,미니벨^^,"선택 옵션 도서선택:개념원리 문제기본서 RPM 중 1-2,시리즈선택:●●22년2학기",5,중학수학에 요즘많은학원에서 이거풀리더라구요\n난이도는 중 정도 되는듯해요
658bae3d349f415aebfa51aa,anne****,선택 옵션 선택:●개념원리 중학수학 1-1,5,너무 어렵지도 쉽지도 않고 개념정리 잘돼어 있는 좋은 문제집이네요\n뭐든 어려워하는 아이지만 잘 따라와주면 좋겠습니다.\n스프링철까지 하니까 더 잘넘겨져요
658bae3d349f415aebfa51ab,dyth***,"선택 옵션 도서선택:개념원리 중학수학 1-1,시리즈선택:●●22년1학기",5,중등수학 문제집 어떤걸 선택할까 고민하다가 가장 많이 선택하는 개념 원리 교재로 선택했어요. 개념 설명이 잘 나와있어서 처음 진도 나가는 아이들에게 좋아요.
658bae3d349f415aebfa51ac,미니벨^^,"선택 옵션 도서선택:개념원리 중학 수학 3-1,시리즈선택:●●22년1학기",5,개념원리 문제수도많고 난이도도좀있지만 풀리기좋아요
658bae3d349f415aebfa51ad,여유한모금,선택 옵션 선택:●개념원리 중학수학 3-2,5,학원에서 사용할 교재로 구입해요 내년 준비합니다 함께 구입해서 노트3권 받았어요
658bae3d349f415aebfa51ae,도리도리까꾸웅,선택 옵션 선택:●개념원리 중학수학 1-1,5,수학 기본서가 필요해서 샀어요 카드할인에 2000원 쿠폰까지써서 20000원대의 가격에 RPM문제집까지 샀어요 기본서로 아주 좋은것같아요 수학은 기본을 익히면서 문제를 많이 풀어보는게 좋은것같아요 무선연습장한권도 받았어요 배송도 빠른편이예요 
658bae3d349f415aebfa51af,미니벨^^,"선택 옵션 도서선택:개념원리 RPM 알피엠 중학 수학 3-1,시리즈선택:●●22년1학기",5,개념원리 시리즈 \n학원교재입니다\n문제수가많은편
658bae3e349f415aebfa51b0,지꾸사랑,"선택 옵션 도서선택:개념원리 중학수학 1-1,시리즈선택:●●22년1학기",4,집에서 공부할 교재로 구매했어요 \n오프라인보다 저렴하게 구매해서 만족합니다 
658bae3e349f415aebfa51b1,my79**,선택 옵션 선택:●개념원리 중학수학 1-1,5,학원교제로 구입했어요.. 아이가 잘 풀어주길..\n책 상태도 너무 좋고 배송도 빠르고 만족해요.
658bae3e349f415aebfa51b2,꾸꾸꾸뀨,선택 옵션 학년선택:●개념원리 RPM 중학수학 1-1,5,학원에서 쓸 교재라서 주문했어요.\n깔끔하고 좋네요
658bae3e349f415aebfa51b3,해피트리0630,선택 옵션 선택:●개념원리 RPM 중학수학 2-1,5,중2아들 학원 교재용으로 주문했어요\n저렴하게 살수 있고 배송 빨라서 좋아요\n잘 쓰겠습니다 감사합니다 
658bae3e349f415aebfa51b4,bsrh****,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,4,배송은 보통. 책상태는좋아요! 저렴하게 잘구매했어요!
658bae3e349f415aebfa51b5,로또대박,선택 옵션 선택:●개념원리 중학수학 3-1,5,엠베스트 인강교재로 샀어요..\n좋은결과나오길 바래요
658bae3e349f415aebfa51b6,mac0***,선택 옵션 선택:●개념원리 중학수학 3-1,5,아이 내신교재로 구매했는데 배송도 빠르고 포장도 꼼꼼하게 해주셔서 믿고 구매합니다 
658bae3e349f415aebfa51b7,hima******,선택 옵션 선택:●개념원리 중학수학 3-2,4,개념원리 잘 정리되어 보기 ？게 되어있구요\n아이가 좋아합니다
658bae3e349f415aebfa51b8,love****,선택 옵션 선택:●개념원리 중학수학 3-1,5,학원교재였는데 카드할인도 크고 빠른배송으로 잘받았습니다!
658bae3f349f415aebfa51b9,step***,선택 옵션 선택:●개념원리 RPM 중학수학 1-2,5,배송상태 양호하고? 책내용도 좋네요\n문제 마다 참고로해서  문제해설도 나와있네요
658bae3f349f415aebfa51ba,sjdj**,선택 옵션 ●개념원리 중학수학 3-2,5,중3아들 수학 개념 문제집으로 딱좋은것같습니다?서비스로 형광펜도 주셨네요?감사합니다
658bae3f349f415aebfa51bb,blue****,선택 옵션 선택:●개념원리 중학수학 2-2,5,아들 학원교재\n주문바로 담날 도착\n빠른배송 감사합니다~~♥♥♥
658bae3f349f415aebfa51bc,쇼핑하자9095,선택 옵션 선택:●개념원리 RPM 중학수학 2-1,5,내용이야 뭐 이야기할거 없고 방학때 선행하려고 구매했어요 배송 빠르고 감사합니다 
658bae3f349f415aebfa51bd,step***,선택 옵션 선택:●개념원리 중학수학 1-2,5,배송빠르고 상태좋아요\n울아들 공부시키려고 구매했는데 내용도 좋아보여요\n기대됩니다 
658bae3f349f415aebfa51be,ggum****,선택 옵션 선택:●개념원리 중학수학 2-2,5,개념을 스스로 학습하기에 이만한 교재가 없는것 같아요. 자기 주도학습교재로 매우 좋습니다
658bae3f349f415aebfa51bf,ykki**,선택 옵션 선택:●개념원리 RPM 중학수학 1-2,4,사은품 노트까지 포장 잘 해서 배송 잘 받았습니다. 감사합니다.
658bae3f349f415aebfa51c0,miss*****,선택 옵션 선택:●개념원리 RPM 중학수학 1-2,5,아이가 패드에있는 강의들으며 공부하기좋아요.간편답지있는것도 편하구요
658bae3f349f415aebfa51c1,무지짱,선택 옵션 학년선택:●개념원리 중학수학 3-2,5,배송 중 모서리 찍힘이 있긴 하지만 어쩔 수 없죠ㅠ\n\n자이스토리 좋아요~
658bae3f349f415aebfa51c2,초코렛쿠키,선택 옵션 선택:●개념원리 중학수학 3-1,5,개념잡는데 진짜 좋은 책이에요. 사은품 노트도 꽤 쓸모 있어요.\n배송도 빠릅니다.
658bae3f349f415aebfa51c3,hoon****,선택 옵션 선택:●개념원리 중학수학 2-1,5,"수학학원 에서 푸는 문제집이에요,  좋으네요"
658bae40349f415aebfa51c4,bing****,"선택 옵션 도서선택:개념원리 중학수학 1-2,시리즈선택:●●22년2학기",5,방학동안 복습하려고 구입\n중하 난이도 문제가 많아 부담없이 풀 수 있어요
658bae40349f415aebfa51c5,grat******,선택 옵션 ●●22년1학기,5,좋은 가격으로 구매했어요. 늘 시작하는 교재로 너무 좋아요
658bae40349f415aebfa51c6,1499***************,선택 옵션 선택:●개념원리 중학수학 3-1,5,방학동안예습교재로구매해요\n자세하게나와있어좋아요
658bae40349f415aebfa51c7,덩크슛,선택 옵션 선택:●개념원리 RPM 중학수학 3-1,5,카드할인받아 너무 저렴하게 샀어요~\n이런카드행사 너무 좋으네요 감사해요~
658bae40349f415aebfa51c8,mir7*****,"선택 옵션 도서선택:개념원리 RPM 알피엠 중학 수학 2-2,시리즈선택:●●22년2학기",5,학원교재로 구입했어요\n엄마인 제가 보기엔 내용이 엄청 어렵네요\n학생들 화이팅!
658bae40349f415aebfa51c9,am24**,선택 옵션 선택:●개념원리 중학수학 3-1,5,중3준비를 위해 구입합니다\n좋은 교재가 되기를~~
658bae40349f415aebfa51ca,항상행복하길,선택 옵션 학년선택:●개념원리 중학수학 1-1,5,필요하다고해서 주문해줬어요\n열심히 풀길바래봅니다!!!
658bae40349f415aebfa51cb,love*****,"선택 옵션 도서선택:개념원리 중학 수학 3-1,시리즈선택:●●22년1학기",5,인터넷 도서구입하면 편리해서 좋아요\n빠른배송 감사합니다
658bae40349f415aebfa51cc,sjdj**,선택 옵션 ●개념원리 RPM 중학수학 3-2,5,중3아들 학원교재로 구입했습니다\n형광펜도 선물로 주셨습니다\n감사합니다
658bae40349f415aebfa51cd,pupp*******,"선택 옵션 도서선택:개념원리 RPM 알피엠 중학 수학 3-2,시리즈선택:●●22년2학기",5,개념설명\n교과서 문제정복\n유형익히기\n중단원마무리\n서술형주돠식\n실력up\n등등. 구성이 좋습니다.
658bae40349f415aebfa51ce,도리도리까꾸웅,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,5,중고등학교 수학은 문제 유형을 파악하는게 중요한것같아요 그래서 여러유형을 꾸준히 푸는게 좋은것같아요 RPM은 거기에 충실한 문제가 풍부해서 아이가 스스로 풀기 좋아요
658bae40349f415aebfa51cf,방탱,"선택 옵션 도서선택:개념원리 중학 수학 3-1,시리즈선택:●●22년1학기",5,개념을 잘알게 해주어 좋아요. 수학시작은 개념원리로
658bae41349f415aebfa51d0,kosa****,선택 옵션 선택:●개념원리 RPM 중학수학 1-2,5,예비중. 학원교재로 구입합니다. 문제양이 꽤 많아요
