_id,책ID,책 이름,댓글 아이디,댓글 내용
658e830cc3baaf37b89b3300,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,sr***,혼자되는 법을 배우게 되는책
658e830dc3baaf37b89b3301,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ny******,나이가 마흔중반이 넘으니 공감되는 부분이 많아 읽으면서 고개를 절로 끄덕이게 합니다.\n다시한번 내 내면을 다지면서 살아야 겠다는 생각이 드네요.
658e830fc3baaf37b89b3302,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,pk*****,내 마음이 바람에 스쳤어요.
658e8310c3baaf37b89b3303,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,be******,기대하며 기다리고 있어요
658e8311c3baaf37b89b3304,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,hs****,도움되는 책이예요.\n교훈을줘요.
658e8312c3baaf37b89b3305,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,wn******,고민을 좀 했어요. 살까말까. 역시 잘샀다고 생각이 듭니다. 나이가 들기전에 미리 알았다면 더 좋았을걸 하는 생각도 드네요~ 꼭 읽어보시기 바랍니다.
658e8313c3baaf37b89b3306,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,db********,도움이 많이되는 책이예요
658e8314c3baaf37b89b3307,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,he******,도움이 많이되는 책이예요
658e8315c3baaf37b89b3308,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,dk******,도움이 많이되는 책이예요
658e8316c3baaf37b89b3309,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ps***,도움이 많이되는 책이예요
658e8319c3baaf37b89b330a,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,su*****,"마흔이 넘었는데, 읽어도 도움되는 말씀들"
658e831ac3baaf37b89b330b,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,mi******,말로만 알던 유명한 철학자~ 이 책을 통해 조금은 제대로 알게됨
658e831bc3baaf37b89b330c,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,du******,우연히 접해서 읽어보고 싶어 구매했어요\n살면서 구하고 싶은 지혜가 종종 필요한데\n여기서도 좀 얻는거 같아요
658e831cc3baaf37b89b330d,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,se****,읽기 쉽고... 많이 도움되네요.
658e831dc3baaf37b89b330e,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,su********,쭉쭉 잘읽히고 좋아요
658e831ec3baaf37b89b330f,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,lo********,이 리뷰에는 스포일러가 포함되어있습니다.\n보기
658e831fc3baaf37b89b3310,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,zz*******,삶이 괴롭고 허망하다고 느껴질때마다 읽어야하는책
658e8320c3baaf37b89b3311,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,kk*****,쇼펜하우어\n\n인생은 고통의 연속이다. 마흔이 넘어 최근에 깊이 내린 결론이다. 물론 고통이 크기에 삶을 포기하거나 외면하고 싶은 생각
658e8321c3baaf37b89b3312,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,gl********,행복을 찾는 길을 알려주네요. 집중해서 봤습니다.
658e8323c3baaf37b89b3313,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ra****,너무 좋네요~~~~~~~
658e8326c3baaf37b89b3314,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ku****,예전에 읽을때는 어려운글인데 지금은 좋다
658e8327c3baaf37b89b3315,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,le******,책내용이 알차고 좋았어요
658e8328c3baaf37b89b3316,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,na******,요즘 핫한 이유가 있는 책입니다.
658e8329c3baaf37b89b3317,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,cl******,좋아요~~적립금으로저렴하게구매했어요~^^
658e832ac3baaf37b89b3318,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ki*****,한장 한장 새기며 읽고 있어요
658e832bc3baaf37b89b3319,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ma******,감사합니다 감사합니다 감사합니다
658e832cc3baaf37b89b331a,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,hs********,행복에 대해서 소중함을 느끼게 하네요^
658e832dc3baaf37b89b331b,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,17*****,좋아요.좋아요.좋아요.
